reverse_times,reverse_dates,forward_times
348,2014-03-03,17
349,2014-03-02,16
350,2014-03-01,15
351,2014-02-28,14
352,2014-02-27,13
353,2014-02-26,12
354,2014-02-25,11
355,2014-02-24,10
356,2014-02-23,9
357,2014-02-22,8
358,2014-02-21,7
359,2014-02-20,6
360,2014-02-19,5
361,2014-02-18,4
362,2014-02-17,3
363,2014-02-16,2
364,2014-02-15,1
365,2014-02-14,0
