lump,time,new_time,reverse_time,value,true_rt,.lower,.upper,.width,address,sim_num_val,sim
20,143.99497476746666,143.99497476746666,8.798870681578222,0.47903069864110315,0.6183666666666666,0.34347428446464673,0.663229381928477,0.5,simnum1fit_bdmm_control_weekly.log,1,9
20,144.49545542039928,144.49545542039928,8.2983900286456,0.47903069864110315,0.6168066666666667,0.34347428446464673,0.663229381928477,0.5,simnum1fit_bdmm_control_weekly.log,1,9
20,144.97617137737805,144.97617137737805,7.817674071666829,0.47903069864110315,0.6155066666666666,0.34347428446464673,0.663229381928477,0.5,simnum1fit_bdmm_control_weekly.log,1,9
20,145.49117459288928,145.49117459288928,7.302670856155601,0.47903069864110315,0.61438,0.34347428446464673,0.663229381928477,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,145.99946413313825,145.99946413313825,6.794381315906634,0.534024752780127,0.61334,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,146.49342262725935,146.49342262725935,6.300422821785531,0.534024752780127,0.6123866666666667,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,146.9995028331956,146.9995028331956,5.794342615849274,0.534024752780127,0.6110866666666668,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,147.48980937975503,147.48980937975503,5.30403606928985,0.534024752780127,0.60996,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,147.9980956439373,147.9980956439373,4.79574980510759,0.534024752780127,0.6085733333333334,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,148.47549464055277,148.47549464055277,4.318350808492113,0.534024752780127,0.60762,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,148.99805627995494,148.99805627995494,3.795789169089943,0.534024752780127,0.60684,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,149.48952957521203,149.48952957521203,3.3043158738328486,0.534024752780127,0.6059733333333334,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,149.97703597077935,149.97703597077935,2.816809478265526,0.534024752780127,0.6053666666666667,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,150.4901513380765,150.4901513380765,2.3036941109683937,0.534024752780127,0.6039800000000001,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,150.99741533094988,150.99741533094988,1.796430118095003,0.534024752780127,0.6028533333333334,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,151.49905891324673,151.49905891324673,1.2947865357981527,0.534024752780127,0.60216,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,151.97116535527562,151.97116535527562,0.8226800937692644,0.534024752780127,0.6012066666666667,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,152.48999477642295,152.48999477642295,0.3038506726219339,0.534024752780127,0.60034,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
21,152.79150790311132,152.79150790311132,0.0023375459335568394,0.534024752780127,0.5999066666666667,0.37692643336326814,0.750634611178443,0.5,simnum1fit_bdmm_control_weekly.log,1,9
0,0,0,152.79384544904488,0.8280809717672291,2.1998533333333334,0.34058967829431347,1.9378282809218819,0.8,simnum1fit_bdmm_control_weekly.log,1,9
0,0.20615455095511953,0.20615455095511953,152.58769089808976,0.8280809717672291,2.199706666666667,0.34058967829431347,1.9378282809218819,0.8,simnum1fit_bdmm_control_weekly.log,1,9
1,7.93361161447824,7.93361161447824,144.86023383456663,0.7790465200741561,2.19956,0.33414169583778425,1.7883916696914706,0.8,simnum1fit_bdmm_control_weekly.log,1,9
